ID;Startdate;Type;Audience;Title;Speaker;Room
26;30.11.2021 11:40;Session;Collab;Communication Compliance in Microsoft 365 ;Martina Grom;Room 16A
47;30.11.2021 14:45;Session;Cloud;Learn how to use Microsoft Search and integrate your business data;Toni Pohl;Room 15A
